River,Location,pH,Turbidity,Temperature,DO,BOD,EC,Nitrate,Fecal_Coliform,City,Latitude,Longitude
Brahmaputra,B,7.98,13.69,25.47,9.73,2.16,589.59,9.1,3842,Tezpur,26.633,92.8
Kaveri,D,6.56,1.17,24.45,5.55,5.83,690.93,17.39,4925,Tiruchirappalli,10.7905,78.7047
Krishna,A,6.52,10.44,13.98,4.57,9.43,242.71,14.99,4070,Mahabaleshwar,17.9307,73.6477
Mahanadi,A,6.3,1.73,13.31,6.21,3.78,65.68,17.43,4080,Raipur,21.2514,81.6296
Brahmaputra,C,7.98,8.68,14.43,7.5,8.83,217.32,8.67,1685,Guwahati,26.1445,91.7362
Ganga,E,8.29,5.03,25.47,4.19,7.88,92.39,11.07,569,Kolkata,22.5726,88.3639
Krishna,A,6.8,5.29,24.52,7.89,3.23,127.55,2.61,4484,Mahabaleshwar,17.9307,73.6477
Narmada,E,6.06,5.94,17.38,2.41,1.33,373.63,1.66,3841,Bharuch,21.7051,72.9959
Ganga,A,6.25,9.7,26.67,2.39,1.92,222.44,7.68,1928,Rishikesh,30.0869,78.2676
Brahmaputra,B,8.9,5.68,30.86,5.09,7.56,436.96,2.32,88,Tezpur,26.633,92.8
Yamuna,D,6.89,11.26,12.96,4.83,2.8,240.12,3.2,4939,Agra,27.1767,78.0081
Godavari,A,8.31,6.66,23.46,4.53,4.34,755.4,24.41,3657,Nashik,19.9975,73.7898
Mahanadi,E,7.87,1.96,27.85,5.93,5.52,729.46,1.26,1041,Paradip,20.316,86.6103
Kaveri,B,7.15,11.97,17.8,4.57,7.53,475.1,19.8,2082,Mysuru,12.2958,76.6394
Brahmaputra,A,6.62,5,19.08,3.54,2.02,315.82,8.25,4555,Dibrugarh,27.4728,94.911
Krishna,C,6.36,7.06,26.11,4.48,4.66,335.86,26.16,1494,Vijayawada,16.5062,80.648
Mahanadi,D,7.85,10.6,32.65,9.8,5.37,358.89,14.6,2255,Bhubaneswar,20.2961,85.8245
Mahanadi,A,8.32,5.65,30.63,5.29,5.87,595.68,9.24,1560,Raipur,21.2514,81.6296
Mahanadi,B,7.93,1.79,25.41,5.56,8.37,388.73,15.58,4795,Sambalpur,21.4669,83.9812
Ganga,C,7.59,6.23,28.8,6.61,2.55,692.55,11.52,4692,Patna,25.5941,85.1376
Godavari,B,6.13,14.22,20.39,9.87,8.27,758.07,16.97,1839,Nanded,19.16,77.31
Ganga,B,8.91,9.98,26.74,3.93,7.24,301.96,3.52,3761,Kanpur,26.4499,80.3319
Krishna,C,8.4,10.4,22.72,7.45,6,470.52,29.91,4732,Vijayawada,16.5062,80.648
Ganga,B,6.88,9.85,16.37,7.73,7.3,121.29,12.82,2041,Kanpur,26.4499,80.3319
Yamuna,C,8.94,3.79,28.14,6.86,4.71,200.35,10.51,4469,Mathura,27.4924,77.6737
Godavari,A,7.81,6.86,24.8,2.71,2.25,360.1,21.34,3866,Nashik,19.9975,73.7898
Godavari,C,7.75,11.51,20.25,7.41,6.99,204.65,10.98,2192,Adilabad,19.6667,78.5333
Krishna,C,8.24,2.42,32.96,2.51,5.72,707.42,25.01,4479,Vijayawada,16.5062,80.648
Kaveri,D,8.44,4.89,12.48,6.77,6.75,168.71,13.68,2104,Tiruchirappalli,10.7905,78.7047
Yamuna,C,7.97,4.87,19.26,7.92,4.04,391.75,21.61,3913,Mathura,27.4924,77.6737
Brahmaputra,C,6.38,7.05,13.31,3.69,9.16,504.27,3.31,3042,Guwahati,26.1445,91.7362
Ganga,A,7.01,14.73,29.63,8.73,6.29,568.9,25.4,1558,Rishikesh,30.0869,78.2676
Narmada,D,8.78,1.95,28.15,2.24,1.77,337.3,22.1,377,Vadodara,22.3072,73.1812
Ganga,E,6.67,8.26,19.62,8.75,5.05,701.82,6.43,74,Kolkata,22.5726,88.3639
Mahanadi,A,7.12,3.51,27.54,5.68,7.81,476.24,4.44,3309,Raipur,21.2514,81.6296
Ganga,A,7.3,14.59,21.11,3.74,8.15,379.63,9.56,4859,Rishikesh,30.0869,78.2676
Brahmaputra,E,7.32,2.59,29.39,3.07,5.45,100.43,29.28,2045,Dhubri,26.0222,89.9856
Ganga,C,7.84,6.65,22.45,9.63,9.05,398.52,7.78,2873,Patna,25.5941,85.1376
Yamuna,B,8.83,11.33,21.48,2.58,3.41,665.55,13.74,1886,New Delhi,28.6139,77.209
Yamuna,D,6.72,10.86,33.5,3.59,4.7,510.91,1,4861,Agra,27.1767,78.0081
Godavari,B,6.36,6.92,17.77,4.78,9.09,674.12,11.98,2238,Nanded,19.16,77.31
Krishna,E,6.59,5.85,14.77,6.96,9.07,420.51,17.18,606,Machilipatnam,16.1875,81.1389
Kaveri,A,8.66,6.57,25.44,6.36,7.17,138.85,28.6,3616,Kodagu,12.3375,75.8069
Narmada,A,7.94,4.7,34.29,3.01,8.73,60.23,15.55,2684,Amarkantak,22.6744,81.7597
Mahanadi,D,6.86,3.87,20.69,4.32,1.8,277.41,24.59,3899,Bhubaneswar,20.2961,85.8245
Ganga,A,8.45,7.76,13.43,3.91,8.78,573.49,16.46,3516,Rishikesh,30.0869,78.2676
Ganga,A,8.58,4.76,19.8,3.71,3.89,642.69,1.32,1844,Rishikesh,30.0869,78.2676
Brahmaputra,D,8.54,5.02,23.64,5.29,2.6,271.81,9.52,1405,Goalpara,26.17,90.62
Krishna,D,8.76,10.19,15.72,7.63,3.15,421.74,17.31,1596,Guntur,16.3067,80.4365
Yamuna,E,6.76,14.56,27.14,3.74,4.76,365.84,28.52,121,Prayagraj,25.4358,81.8463
Narmada,A,8.27,9.45,34.95,4.93,3.26,357.89,25.79,462,Amarkantak,22.6744,81.7597
Godavari,A,7.38,2.08,22.39,5.13,3.89,223.51,6.93,2813,Nashik,19.9975,73.7898
Yamuna,E,8.53,2.06,20.16,9.81,2.21,152.28,6.68,2641,Prayagraj,25.4358,81.8463
Mahanadi,C,8.19,14.32,21.22,9.64,3.67,197.52,6.12,2196,Cuttack,20.4625,85.8828
Krishna,C,8.33,5.16,14.65,8.4,6.15,91.5,27.68,4358,Vijayawada,16.5062,80.648
Mahanadi,C,7.97,2.29,32.32,3.93,4.98,198.6,25.59,2014,Cuttack,20.4625,85.8828
Kaveri,E,6.53,9.39,21.54,2.54,4.12,56.9,23.27,1469,Thanjavur,10.787,79.1378
Godavari,A,7.64,9.73,20.91,4.54,7.72,520.44,11.84,1952,Nashik,19.9975,73.7898
Kaveri,E,8.95,10.08,27.17,4.13,9.04,287.28,15.18,3503,Thanjavur,10.787,79.1378
Brahmaputra,E,8.81,4.74,22.17,6.05,7.81,779.86,13.98,1867,Dhubri,26.0222,89.9856
Mahanadi,C,6.13,1.21,26.91,8.22,3.99,195.29,7.68,71,Cuttack,20.4625,85.8828
Brahmaputra,B,6.49,14.51,13.41,8.87,7.7,309.37,15.2,1504,Tezpur,26.633,92.8
Ganga,A,6.4,4.51,30.72,8.76,2.37,318.38,1.01,1190,Rishikesh,30.0869,78.2676
Kaveri,C,8.18,10.46,33.63,4.88,2.17,56.34,4.04,4911,Erode,11.341,77.7172
Krishna,B,8.45,10.89,26.92,7.5,4.11,679.41,26.61,2798,Sangli,16.8524,74.5815
Mahanadi,B,6.64,9.54,33.96,4.5,8.27,74,22.58,1885,Sambalpur,21.4669,83.9812
Narmada,D,7.52,5.38,15.48,2.49,3.22,755.13,12.74,2218,Vadodara,22.3072,73.1812
Godavari,A,8.52,4.8,22.98,7.61,1.57,719.06,15.56,4646,Nashik,19.9975,73.7898
Yamuna,B,8.2,9.37,25.84,2.08,2.19,451.64,11.16,4731,New Delhi,28.6139,77.209
Krishna,C,7.63,13.13,25.38,5.27,8.73,457.7,22.25,115,Vijayawada,16.5062,80.648
Krishna,D,7.77,14.25,21.23,4.64,6.7,540.33,23.55,1164,Guntur,16.3067,80.4365
Brahmaputra,A,7.53,2.48,19.78,7.55,3.28,340.29,22.92,3438,Dibrugarh,27.4728,94.911
Kaveri,E,6.89,3.17,14.92,8.13,6,535.42,21.71,4097,Thanjavur,10.787,79.1378
Mahanadi,C,7.7,14.23,21.01,4.43,5.75,83.58,6.21,1718,Cuttack,20.4625,85.8828
Mahanadi,B,8.07,11.31,15.74,8.49,6.9,90.54,10.21,2833,Sambalpur,21.4669,83.9812
Ganga,B,8.62,13.36,28.89,4.35,3.1,392.92,14.15,3935,Kanpur,26.4499,80.3319
Ganga,C,7.91,3.84,16.8,5.57,8.78,462.22,9.99,1918,Patna,25.5941,85.1376
Godavari,B,8.28,9.23,13.35,7.82,3.78,715.86,22.67,2059,Nanded,19.16,77.31
Brahmaputra,D,6.48,10.82,24.7,7.54,7.25,128.5,9.95,4474,Goalpara,26.17,90.62
Krishna,A,7.38,10.52,25.69,9.9,1.15,666.99,4.23,1284,Mahabaleshwar,17.9307,73.6477
Mahanadi,D,6.03,6.71,32.05,3.8,4.35,207.54,12.03,955,Bhubaneswar,20.2961,85.8245
Narmada,B,6.74,1.22,25.27,7.3,4.17,345.56,29.4,3914,Jabalpur,23.1815,79.9864
Brahmaputra,E,8.18,9.16,19.95,6.88,5.89,287.45,6.85,2237,Dhubri,26.0222,89.9856
Godavari,A,8.98,4.54,30.47,9.32,1.65,350.12,18.4,3806,Nashik,19.9975,73.7898
Godavari,A,6.3,7.3,24.43,3.25,8.11,162.87,13.05,302,Nashik,19.9975,73.7898
Brahmaputra,C,7.2,14.41,13.82,8.01,2.96,427.68,2.22,4689,Guwahati,26.1445,91.7362
Godavari,C,8.4,6.59,25.01,6.55,7.09,651.23,14.69,2232,Adilabad,19.6667,78.5333
Brahmaputra,E,6.61,12.76,32.88,4.2,8.23,381.15,21.09,3983,Dhubri,26.0222,89.9856
Yamuna,A,7.67,3.64,21.12,5.8,6.06,417.96,15.45,2501,Uttarkashi,30.7298,78.4434
Brahmaputra,E,8.2,10.41,18.82,4.67,7.67,686.58,26.18,2485,Dhubri,26.0222,89.9856
Kaveri,C,7.85,14.68,15.3,6.63,6.96,579.54,8.74,4870,Erode,11.341,77.7172
Brahmaputra,C,6.56,2.43,15.48,9.11,4.2,417.84,2.68,3739,Guwahati,26.1445,91.7362
Godavari,A,7.07,1.12,21.95,6.55,8.28,243.27,28.1,437,Nashik,19.9975,73.7898
Mahanadi,D,8.35,7.07,25.7,7.05,3.65,713.7,11.41,2982,Bhubaneswar,20.2961,85.8245
Kaveri,B,7.66,2.3,13.85,6.15,6.14,482.77,17.33,116,Mysuru,12.2958,76.6394
Godavari,C,6.02,11.48,33.61,2.41,7.71,215.86,23.78,3629,Adilabad,19.6667,78.5333
Ganga,C,8.28,13.8,29.37,3.86,4.41,251.84,9.8,4764,Patna,25.5941,85.1376
Ganga,D,6.11,7.08,25.49,5.94,3.72,652.35,21.51,3343,Varanasi,25.3176,82.9739
Mahanadi,D,8.24,4.62,31.05,4.48,5.13,83.11,4.15,4002,Bhubaneswar,20.2961,85.8245
Mahanadi,E,6.61,7.08,13.84,3.45,8.36,794.07,8.81,1235,Paradip,20.316,86.6103
Kaveri,E,8.87,11.13,22.97,6.03,9.37,147.76,4.43,4014,Thanjavur,10.787,79.1378
Yamuna,B,7.1,1.13,26.49,4.58,5.91,647.05,24.36,4260,New Delhi,28.6139,77.209
Mahanadi,B,6.98,9.25,31.06,4.06,6.95,346.08,6.76,3378,Sambalpur,21.4669,83.9812
Ganga,A,6.45,9.59,30.02,5.71,9.13,419.16,21.55,905,Rishikesh,30.0869,78.2676
Brahmaputra,E,6.92,9.93,18.37,3.07,1.89,710.49,28.3,3915,Dhubri,26.0222,89.9856
Godavari,C,8.63,4.39,33.64,9.42,3.09,359.68,15.88,1630,Adilabad,19.6667,78.5333
Ganga,E,8.99,11,14.86,8.94,7.38,453.12,16.25,3873,Kolkata,22.5726,88.3639
Ganga,C,7.1,2.28,32.13,7.66,8.41,86.97,13.88,2302,Patna,25.5941,85.1376
Yamuna,D,7.35,3.79,34.33,2.85,8.71,51.76,9.84,1395,Agra,27.1767,78.0081
Kaveri,E,8.17,13.28,16.07,8.21,4.74,233.6,14.32,3909,Thanjavur,10.787,79.1378
Kaveri,D,8.66,11.34,28.61,8.46,1.8,560.44,18.12,3602,Tiruchirappalli,10.7905,78.7047
Krishna,B,7.78,1.19,12.93,8.14,4.94,140.95,29.58,2443,Sangli,16.8524,74.5815
Yamuna,B,7.17,4.48,21.32,2.91,3.08,135.32,28.14,2816,New Delhi,28.6139,77.209
Brahmaputra,A,7.24,4,23.87,7.15,3.62,358.22,25.88,3393,Dibrugarh,27.4728,94.911
Kaveri,E,8.09,4.79,25.35,8.67,7.95,535.88,26.69,1311,Thanjavur,10.787,79.1378
Godavari,D,6.01,4.47,33.53,6.62,1.68,584.05,14.09,768,Rajahmundry,17.0005,81.804
Mahanadi,C,7.86,1.88,27.46,7.17,8.45,183.84,19.76,756,Cuttack,20.4625,85.8828
Yamuna,B,7.07,7.43,23.07,5.67,4.85,109.69,26.86,602,New Delhi,28.6139,77.209
Mahanadi,B,8.38,11.26,30.62,6.23,6.36,755.3,11.85,2896,Sambalpur,21.4669,83.9812
Ganga,C,6.28,9.49,33.86,2.28,1.81,245.5,28.86,4121,Patna,25.5941,85.1376
Godavari,D,7.76,10.42,12.51,7.11,4.04,690.01,12.53,1078,Rajahmundry,17.0005,81.804
Godavari,D,7.44,2.14,34.6,2.65,1.81,697.62,18.07,3317,Rajahmundry,17.0005,81.804
Ganga,E,7.93,14.32,13.98,5.48,9.65,629.39,21.32,712,Kolkata,22.5726,88.3639
Yamuna,E,6.19,12.74,30.73,4.34,8.27,176.63,28.52,4718,Prayagraj,25.4358,81.8463
Ganga,A,7.74,12.27,18.45,6.36,5.14,666.35,7.41,114,Rishikesh,30.0869,78.2676
Mahanadi,B,7.68,12.52,15.04,3.07,3.01,626.94,22.41,1507,Sambalpur,21.4669,83.9812
Krishna,E,7.68,14.06,22.12,7.53,9.4,497.54,15.67,3843,Machilipatnam,16.1875,81.1389
Godavari,D,7.81,8.62,26.81,8.36,4.1,302.9,8.13,405,Rajahmundry,17.0005,81.804
Narmada,C,8.03,3.8,20.76,3.31,2.45,246.88,23.32,3527,Hoshangabad,22.7441,77.7369
Narmada,D,8.41,9.63,13.26,2.83,6.07,141.42,16.61,2663,Vadodara,22.3072,73.1812
Mahanadi,B,6.81,11.4,25.79,3.16,9.49,432.32,19.86,3301,Sambalpur,21.4669,83.9812
Brahmaputra,D,8.48,11.33,32.76,9.02,1.03,488.95,9.75,2020,Goalpara,26.17,90.62
Kaveri,A,7.49,8.3,20.81,6.23,3.14,319.5,14.49,3891,Kodagu,12.3375,75.8069
Ganga,B,6.23,1.96,16.98,5.74,9.45,406.52,18.56,4956,Kanpur,26.4499,80.3319
Ganga,C,6.18,6.2,22.18,2.85,2.54,322.64,12.21,1998,Patna,25.5941,85.1376
Brahmaputra,A,7,13.89,13.11,7.2,2.02,530.75,6.03,4547,Dibrugarh,27.4728,94.911
Brahmaputra,B,8.35,9.18,30.87,8.94,6.13,725.94,28.85,1678,Tezpur,26.633,92.8
Mahanadi,C,8.12,8.54,31.01,8.63,8.76,172.94,15.39,4978,Cuttack,20.4625,85.8828
Mahanadi,A,8.37,4.76,25.52,7.01,5.29,336.06,22.04,4772,Raipur,21.2514,81.6296
Brahmaputra,A,7.55,6.16,20.12,2.6,9.95,155.65,12.39,1061,Dibrugarh,27.4728,94.911
Godavari,B,7.32,13.53,30.4,2.9,7.11,518.71,10.72,2851,Nanded,19.16,77.31
Mahanadi,E,6.44,10.33,24.76,2.39,1.67,596.65,12.27,4733,Paradip,20.316,86.6103
Krishna,A,6.98,12.02,31,4.06,9.94,748.93,12.33,3594,Mahabaleshwar,17.9307,73.6477
Mahanadi,A,7.3,7.36,26.52,3.09,4.67,259.15,16.37,357,Raipur,21.2514,81.6296
Ganga,C,6.27,9.82,30.04,4.08,3.59,762.66,16.35,1273,Patna,25.5941,85.1376
Mahanadi,D,6.66,4.48,25.77,5.08,6.02,97.45,14.96,4675,Bhubaneswar,20.2961,85.8245
Godavari,B,7.79,10.88,21.53,9.54,3.74,502.26,4.13,2752,Nanded,19.16,77.31
Brahmaputra,B,8.21,6.99,34.03,6.88,1.78,92.85,14.93,2083,Tezpur,26.633,92.8
Ganga,E,9,7.2,24.45,8.68,1.01,720.33,5.16,3158,Kolkata,22.5726,88.3639
Mahanadi,E,8.8,10.09,25.92,7.68,5.05,447.36,3.87,1361,Paradip,20.316,86.6103
Godavari,B,7.93,14.11,17.07,2.9,8.53,552.01,27.99,2831,Nanded,19.16,77.31
Krishna,E,7.26,1.9,26.39,7.89,6.15,673.68,18.19,3837,Machilipatnam,16.1875,81.1389
Mahanadi,C,7.91,12.55,25.15,4.2,9.99,162.73,19.82,679,Cuttack,20.4625,85.8828
Godavari,B,8.36,5.09,16.25,7.11,3.58,78.94,12.11,4823,Nanded,19.16,77.31
Krishna,E,6.36,7.21,13.37,4.73,3.52,709.16,27.28,2656,Machilipatnam,16.1875,81.1389
Brahmaputra,B,7.23,1.31,25.9,9.98,2.44,286.2,19.17,276,Tezpur,26.633,92.8
Mahanadi,D,8.52,5.21,29.56,4.11,2.48,146.73,23.1,1448,Bhubaneswar,20.2961,85.8245
Krishna,A,7.15,8.04,24.04,4.23,3.57,401.35,11.12,2703,Mahabaleshwar,17.9307,73.6477
Ganga,B,7.72,1.79,17.22,9.45,8.14,498.73,28.8,1032,Kanpur,26.4499,80.3319
Brahmaputra,A,7.76,7.88,27.33,2.2,9.15,73.23,24.63,2047,Dibrugarh,27.4728,94.911
Ganga,E,6.55,13.98,13.84,7.57,9.78,256.17,25.63,574,Kolkata,22.5726,88.3639
Narmada,A,7.09,2.48,22.16,7.8,3.09,74.6,5.25,1069,Amarkantak,22.6744,81.7597
Yamuna,B,7,11.7,15.76,8.69,8.93,365.25,8.2,1434,New Delhi,28.6139,77.209
Mahanadi,D,6.08,6.74,16.24,9.8,3.95,721.33,8.64,4133,Bhubaneswar,20.2961,85.8245
Krishna,E,6.07,10.17,16.65,9.8,2.02,786.99,8.2,229,Machilipatnam,16.1875,81.1389
Yamuna,B,8.5,4.64,20.89,2.52,8.83,527.79,25.68,415,New Delhi,28.6139,77.209
Yamuna,E,6.82,3.23,13.18,8.57,6.72,171.23,1.05,1647,Prayagraj,25.4358,81.8463
Krishna,C,7.55,3.25,21.15,7.17,2.48,729.39,2.38,2328,Vijayawada,16.5062,80.648
Brahmaputra,A,6.9,1.99,23.77,7.18,4.87,437.19,8.29,1769,Dibrugarh,27.4728,94.911
Mahanadi,C,8.82,3.6,23.12,3.03,3.59,165.31,6.08,1684,Cuttack,20.4625,85.8828
Narmada,B,6.78,10.3,20.8,7.2,7.63,741.3,7.03,801,Jabalpur,23.1815,79.9864
Ganga,D,7.29,13.34,31.3,9.86,5.08,618.1,23.96,3592,Varanasi,25.3176,82.9739
Godavari,E,8.62,12.4,15.34,9.29,9.9,598.78,16.94,1319,Kakinada,16.9891,82.2475
Ganga,A,8.53,10.59,23.63,5.51,1.49,581.89,0.27,3843,Rishikesh,30.0869,78.2676
Godavari,E,6.56,2.55,13.43,2.32,4.2,200.25,12.94,4939,Kakinada,16.9891,82.2475
Ganga,B,8.41,5.05,13.64,4.9,5.34,208.26,12.3,4422,Kanpur,26.4499,80.3319
Krishna,E,7.37,5.34,25.2,8.61,5.53,566.22,3.51,1340,Machilipatnam,16.1875,81.1389
Narmada,A,7.45,4.5,25.02,7.61,3.84,214.79,20.32,4456,Amarkantak,22.6744,81.7597
Mahanadi,B,6.4,8.21,32.19,5.67,7.56,379,21.09,520,Sambalpur,21.4669,83.9812
Godavari,E,6.24,8.5,24.83,2.44,8.87,636.5,21.65,2582,Kakinada,16.9891,82.2475
Mahanadi,D,8.18,6,34.08,5.42,9.45,637.96,21.88,3939,Bhubaneswar,20.2961,85.8245
Mahanadi,B,7.49,5.95,13.12,5.75,8.25,389.95,0.1,501,Sambalpur,21.4669,83.9812
Mahanadi,B,7.31,12.6,14.25,9.43,8.66,644.14,28.62,1627,Sambalpur,21.4669,83.9812
Kaveri,D,8.19,12.05,13.01,7.13,5.95,678.97,24.44,2066,Tiruchirappalli,10.7905,78.7047
Brahmaputra,C,8.3,5.31,16.26,4.49,8.43,541.08,27.13,1530,Guwahati,26.1445,91.7362
Ganga,A,6.48,13.79,24.45,6.2,3.73,221.32,0.57,1593,Rishikesh,30.0869,78.2676
Mahanadi,C,7.83,14.34,26.85,2.53,4.59,255.51,28.02,1585,Cuttack,20.4625,85.8828
Ganga,E,6.41,5.57,13.05,9.78,3.85,286.13,24.31,3956,Kolkata,22.5726,88.3639
Mahanadi,D,8.25,5.96,33.76,4.88,5.21,137.6,25.13,1771,Bhubaneswar,20.2961,85.8245
Godavari,C,7.97,8.08,31.37,5.82,3.57,254.87,2.89,2001,Adilabad,19.6667,78.5333
Brahmaputra,B,8.87,14.18,18.82,4.84,9.65,207.14,22.19,3189,Tezpur,26.633,92.8
Brahmaputra,E,6.21,13.27,13.78,7.46,3.82,391.5,28.8,3336,Dhubri,26.0222,89.9856
Krishna,E,6.17,2.44,15.91,7.3,1.88,731.33,20.39,1056,Machilipatnam,16.1875,81.1389
Kaveri,C,6.85,6.5,14.92,7.72,5.74,128.36,17.16,2902,Erode,11.341,77.7172
Krishna,C,6.79,8.75,14.84,4.15,1.51,590.2,28.37,2623,Vijayawada,16.5062,80.648
Krishna,D,6.74,8.04,23.93,4.53,1.99,565.46,13.34,3902,Guntur,16.3067,80.4365
Krishna,A,8.72,3.71,17.65,3,2.97,121.82,18.02,4154,Mahabaleshwar,17.9307,73.6477
Krishna,C,6.75,13.02,20.24,7.24,5.18,741.93,14.34,471,Vijayawada,16.5062,80.648
Krishna,C,6.82,10.48,34.76,2.32,4.9,476.35,27.99,4441,Vijayawada,16.5062,80.648
Narmada,B,8.28,12.73,27.74,6.78,8.2,322.79,2.37,1391,Jabalpur,23.1815,79.9864
Brahmaputra,E,7.35,13.02,33.83,8.96,7.66,617.4,15.08,1155,Dhubri,26.0222,89.9856
Krishna,A,8.33,11.48,15.28,9.13,4.84,243.02,20.64,3525,Mahabaleshwar,17.9307,73.6477
Mahanadi,B,6.2,7.15,20.79,5.59,4,570.13,23.78,4464,Sambalpur,21.4669,83.9812
Brahmaputra,D,7.46,9.55,24.76,5.67,3.85,79.78,17.53,202,Goalpara,26.17,90.62
Brahmaputra,D,6.1,3.25,13.77,2.62,7.97,679.56,27.28,3544,Goalpara,26.17,90.62
Yamuna,C,6.19,10.43,12.1,7.37,1.47,386.13,28.27,765,Mathura,27.4924,77.6737
Narmada,C,8.72,3.51,27.42,8.57,1.12,527.52,2.02,1694,Hoshangabad,22.7441,77.7369
Krishna,D,6.42,10.72,26.76,3.96,8.16,215.93,12.13,2535,Guntur,16.3067,80.4365
Ganga,C,7.6,4.21,21.45,5.37,5.29,557.81,0.8,837,Patna,25.5941,85.1376
Godavari,A,7.23,2.65,23.26,8.71,2.18,629.18,9.95,899,Nashik,19.9975,73.7898
Kaveri,C,7.04,3.31,21.56,9.02,3.12,404.91,16.15,4758,Erode,11.341,77.7172
Mahanadi,E,8.7,1.03,12.55,3.95,9.39,513.3,27.33,2465,Paradip,20.316,86.6103
Ganga,C,6.07,11.06,19.71,6.4,8.74,392.24,25.41,2343,Patna,25.5941,85.1376
Narmada,B,7.99,11.25,16.07,3.54,7.39,720.57,3.91,4956,Jabalpur,23.1815,79.9864
Godavari,A,8.89,8.21,14.26,2.82,5.34,423.4,2.88,120,Nashik,19.9975,73.7898
Narmada,B,7.68,3.26,34,9.29,5.68,681.36,17.72,4725,Jabalpur,23.1815,79.9864
Mahanadi,B,8.81,2.17,25.79,8.56,9.78,651.01,16.01,802,Sambalpur,21.4669,83.9812
Brahmaputra,E,6.16,1.27,28.76,8.08,9.69,357.88,8.06,4693,Dhubri,26.0222,89.9856
Godavari,A,7.26,3.32,19.25,2.39,2.94,222.56,26.99,2653,Nashik,19.9975,73.7898
Brahmaputra,A,6.78,13.47,21.04,8.75,8.3,354.56,27.83,3424,Dibrugarh,27.4728,94.911
Mahanadi,A,8.19,4.38,17.45,5.5,2.78,669.66,12.14,1319,Raipur,21.2514,81.6296
Ganga,A,8.94,5.96,14.23,4.74,2.92,220.72,26.72,306,Rishikesh,30.0869,78.2676
Mahanadi,A,6.77,2.47,16.12,6.37,7.08,443.33,11.58,1639,Raipur,21.2514,81.6296
Ganga,E,7.96,4.11,30.34,2.73,4.65,654.57,22.13,578,Kolkata,22.5726,88.3639
Godavari,C,6.59,8.27,27.58,8.05,9.38,315.11,14.33,4937,Adilabad,19.6667,78.5333
Godavari,B,7.7,9.51,24.58,6.66,1.8,531.66,3.77,4715,Nanded,19.16,77.31
Krishna,A,7.39,4.43,22.93,3.49,5.6,234.22,27.85,4121,Mahabaleshwar,17.9307,73.6477
Narmada,C,8.92,1.81,33.22,3.51,9.27,131.96,13.68,81,Hoshangabad,22.7441,77.7369
Krishna,C,7.83,6.47,13.67,3.47,9.14,645.79,22.06,4375,Vijayawada,16.5062,80.648
Narmada,B,7.05,4.28,18.45,2.46,2.41,124.23,11.08,4392,Jabalpur,23.1815,79.9864
Krishna,E,6.34,4.07,20.05,6.7,4.3,253.54,0.66,75,Machilipatnam,16.1875,81.1389
Brahmaputra,D,6.45,14.44,30,8.72,6.57,691.33,3.11,889,Goalpara,26.17,90.62
Godavari,D,6.68,9.63,34.83,2.14,2.43,309.85,14.94,77,Rajahmundry,17.0005,81.804
Ganga,C,6.75,8.8,17.54,2.39,9.71,779.78,20.73,1226,Patna,25.5941,85.1376
Narmada,B,8.55,6.82,32.11,6.58,9.23,784.8,10.11,3037,Jabalpur,23.1815,79.9864
Mahanadi,D,7.68,7.01,31.1,8.56,2.5,251.21,20.9,3249,Bhubaneswar,20.2961,85.8245
Narmada,C,7.57,8.57,17.17,4.61,2.09,80.73,20.99,3490,Hoshangabad,22.7441,77.7369
Ganga,E,6.34,10.75,21.18,4.8,1.77,578.8,21.15,517,Kolkata,22.5726,88.3639
Krishna,D,8.58,10.83,21.42,6.77,9.18,388.24,14.83,3724,Guntur,16.3067,80.4365
Narmada,C,8.17,3.4,34.5,4.19,2.74,125.56,27.46,2894,Hoshangabad,22.7441,77.7369
Kaveri,C,6.2,8,16.16,2.21,4.75,580.64,14.73,1135,Erode,11.341,77.7172
Brahmaputra,A,8.12,6.77,30.38,7.88,5.04,73.38,13.56,895,Dibrugarh,27.4728,94.911
Godavari,E,7.63,13.19,19.69,7.01,6.39,702.65,6.06,2851,Kakinada,16.9891,82.2475
Ganga,A,6.25,9.84,28.81,6.65,1.65,153.99,9.3,3887,Rishikesh,30.0869,78.2676
Godavari,B,7.37,8.46,21.66,7.93,3.04,145.48,1.37,4880,Nanded,19.16,77.31
Kaveri,A,7.45,2.62,25.3,7.4,9.38,181.75,19.04,2535,Kodagu,12.3375,75.8069
Narmada,A,6.5,9.48,31.15,3.65,9.18,770.2,7.53,935,Amarkantak,22.6744,81.7597
Narmada,D,8.84,2.64,30.5,4.82,8.03,569.88,9.19,4225,Vadodara,22.3072,73.1812
Mahanadi,C,8.55,5.72,31.93,3.01,1.17,651.03,23.15,1948,Cuttack,20.4625,85.8828
Kaveri,E,8.01,3,13.37,3.04,3.94,348.23,9.88,3824,Thanjavur,10.787,79.1378
Ganga,A,7.39,10.69,27.92,7.41,6.65,302.23,7.34,3372,Rishikesh,30.0869,78.2676
Mahanadi,E,7.24,3.89,15.22,8.87,3.48,225.86,5.15,4593,Paradip,20.316,86.6103
Brahmaputra,A,7.95,6.49,21.56,9.7,9.19,410.49,23.27,3242,Dibrugarh,27.4728,94.911
Mahanadi,B,7.64,13.54,24.62,7.03,6.71,463.87,3.98,3754,Sambalpur,21.4669,83.9812
